Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-13T00:00+02:00;2022-05-14T00:00+02:00;2022-05-13;1;49;100,0;24;24;0;49;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-13T00:00+02:00;2022-05-14T00:00+02:00;2022-05-13;2;65;100,0;24;24;0;65;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-13T00:00+02:00;2022-05-14T00:00+02:00;2022-05-13;Totalt i retning Muse`gata;65;100,0;24;24;0;65;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-13T00:00+02:00;2022-05-14T00:00+02:00;2022-05-13;Totalt i retning Nyløkken/Telegrafbukta;49;100,0;24;24;0;49;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-13T00:00+02:00;2022-05-14T00:00+02:00;2022-05-13;Totalt;114;100,0;24;24;0;114;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-14T00:00+02:00;2022-05-15T00:00+02:00;2022-05-14;1;27;100,0;24;24;0;27;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-14T00:00+02:00;2022-05-15T00:00+02:00;2022-05-14;2;46;100,0;24;24;0;46;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-14T00:00+02:00;2022-05-15T00:00+02:00;2022-05-14;Totalt i retning Muse`gata;46;100,0;24;24;0;46;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-14T00:00+02:00;2022-05-15T00:00+02:00;2022-05-14;Totalt i retning Nyløkken/Telegrafbukta;27;100,0;24;24;0;27;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-14T00:00+02:00;2022-05-15T00:00+02:00;2022-05-14;Totalt;73;100,0;24;24;0;73;0,00;-;-;-;-;-;-;-;-
