Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt i retning Pyramiden;42;100,0;24;24;0;42;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt;68;100,0;24;24;0;68;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;1;12;100,0;24;24;0;12;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;2;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt i retning Nova;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt i retning Pyramiden;12;100,0;24;24;0;12;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt;18;100,0;24;24;0;18;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;1;11;100,0;24;24;0;11;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;2;2;100,0;24;24;0;2;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt i retning Nova;2;100,0;24;24;0;2;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt i retning Pyramiden;11;100,0;24;24;0;11;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt;13;100,0;24;24;0;13;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;1;48;100,0;24;24;0;48;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;2;28;100,0;24;24;0;28;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;Totalt i retning Nova;28;100,0;24;24;0;28;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;Totalt i retning Pyramiden;48;100,0;24;24;0;48;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;Totalt;76;100,0;24;24;0;76;0,00;-;-;-;-;-;-;-;-
