År;Sektor;Tittel;Navn;Mengde
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);196
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);183
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);698
2013;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);886
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);141
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);170
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);194
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);186
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);699
2015;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);889
2016;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);133
2016;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);164
2016;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);182
2016;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);175
2016;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);659
2016;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);826
2017;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);121
2017;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);160
2017;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);167
2017;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);170
2017;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);609
2017;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);758
2018;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);129
2018;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);157
2018;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);178
2018;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);161
2018;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);644
2018;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);805
2019;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);124
2019;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);151
2019;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);172
2019;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);161
2019;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);622
2019;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);776
2020;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);127
2020;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);149
2020;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);175
2020;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);162
2020;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);646
2020;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);785
2021;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (diesel);128
2021;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Personbil (bensin);141
2021;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (diesel);179
2021;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Varebil (bensin);155
2021;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Tunge kjøretøy (diesel);655
2021;Veitrafikk;Kommunespesifikke utslippsfaktorer (g CO2-ekv/km);Busser (diesel);761
2009;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;263020
2009;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;43862
2009;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;22461
2009;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6261
2009;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;335604
2011;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;270383
2011;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;43382
2011;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;22964
2011;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6402
2011;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;343131
2013;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;281118
2013;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;42058
2013;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;23652
2013;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6594
2013;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;353422
2015;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;292437
2015;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;44760
2015;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24677
2015;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6880
2015;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;368754
2016;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;296381
2016;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;43729
2016;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24890
2016;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6939
2016;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;371940
2017;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;293951
2017;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;44729
2017;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24786
2017;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6910
2017;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;370377
2018;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;291861
2018;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;45076
2018;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24659
2018;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6874
2018;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;368471
2019;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;294846
2019;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;46661
2019;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24993
2019;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6968
2019;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;373467
2020;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;279882
2020;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;48900
2020;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24061
2020;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6708
2020;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;359552
2021;Veitrafikk;Kjøring i kommunen (1000 km);Personbil;286877
2021;Veitrafikk;Kjøring i kommunen (1000 km);Varebil;49373
2021;Veitrafikk;Kjøring i kommunen (1000 km);Tunge kjøretøy;24115
2021;Veitrafikk;Kjøring i kommunen (1000 km);Busser;6723
2021;Veitrafikk;Kjøring i kommunen (1000 km);Totalt;367088
2016;Veitrafikk;Opphav til kjøring i kommunen (%);Tromsø;99,6
2016;Veitrafikk;Opphav til kjøring i kommunen (%);Balsfjord;0,4
2016;Veitrafikk;Opphav til kjøring i kommunen (%);Karlsøy;0,1
